,DayofYear,Date,Month,Year,Time(Hrs),Dst Index
42361,305,01,11,1979,00,-22.00
42362,305,01,11,1979,01,-24.00
42363,305,01,11,1979,02,-25.00
42364,305,01,11,1979,03,-29.00
42365,305,01,11,1979,04,-31.00
42366,305,01,11,1979,05,-28.00
42367,305,01,11,1979,06,-23.00
42368,305,01,11,1979,07,-17.00
42369,305,01,11,1979,08,-7.00
42370,305,01,11,1979,09,-1.00
42371,305,01,11,1979,10,1.00
42372,305,01,11,1979,11,-2.00
42373,305,01,11,1979,12,-1.00
42374,305,01,11,1979,13,3.00
42375,305,01,11,1979,14,3.00
42376,305,01,11,1979,15,0.00
42377,305,01,11,1979,16,-10.00
42378,305,01,11,1979,17,-15.00
42379,305,01,11,1979,18,-24.00
42380,305,01,11,1979,19,-19.00
42381,305,01,11,1979,20,-13.00
42382,305,01,11,1979,21,-18.00
42383,305,01,11,1979,22,-20.00
42384,305,01,11,1979,23,-27.00
42385,306,02,11,1979,00,-26.00
42386,306,02,11,1979,01,-32.00
42387,306,02,11,1979,02,-33.00
42388,306,02,11,1979,03,-30.00
42389,306,02,11,1979,04,-30.00
42390,306,02,11,1979,05,-27.00
42391,306,02,11,1979,06,-29.00
42392,306,02,11,1979,07,-28.00
42393,306,02,11,1979,08,-26.00
42394,306,02,11,1979,09,-30.00
42395,306,02,11,1979,10,-24.00
42396,306,02,11,1979,11,-17.00
42397,306,02,11,1979,12,-14.00
42398,306,02,11,1979,13,-16.00
42399,306,02,11,1979,14,-22.00
42400,306,02,11,1979,15,-24.00
42401,306,02,11,1979,16,-26.00
42402,306,02,11,1979,17,-25.00
42403,306,02,11,1979,18,-28.00
42404,306,02,11,1979,19,-27.00
42405,306,02,11,1979,20,-23.00
42406,306,02,11,1979,21,-23.00
42407,306,02,11,1979,22,-19.00
42408,306,02,11,1979,23,-15.00
42409,307,03,11,1979,00,-11.00
42410,307,03,11,1979,01,-9.00
42411,307,03,11,1979,02,-11.00
42412,307,03,11,1979,03,-11.00
42413,307,03,11,1979,04,-14.00
42414,307,03,11,1979,05,-14.00
42415,307,03,11,1979,06,-14.00
42416,307,03,11,1979,07,-11.00
42417,307,03,11,1979,08,-10.00
42418,307,03,11,1979,09,-8.00
42419,307,03,11,1979,10,-7.00
42420,307,03,11,1979,11,-11.00
42421,307,03,11,1979,12,-15.00
42422,307,03,11,1979,13,-12.00
42423,307,03,11,1979,14,-6.00
42424,307,03,11,1979,15,-4.00
42425,307,03,11,1979,16,-13.00
42426,307,03,11,1979,17,-21.00
42427,307,03,11,1979,18,-23.00
42428,307,03,11,1979,19,-21.00
42429,307,03,11,1979,20,-22.00
42430,307,03,11,1979,21,-25.00
42431,307,03,11,1979,22,-22.00
42432,307,03,11,1979,23,-23.00
42433,308,04,11,1979,00,-20.00
42434,308,04,11,1979,01,-23.00
42435,308,04,11,1979,02,-28.00
42436,308,04,11,1979,03,-22.00
42437,308,04,11,1979,04,-15.00
42438,308,04,11,1979,05,-14.00
42439,308,04,11,1979,06,-21.00
42440,308,04,11,1979,07,-22.00
