,DayofYear,Date,Month,Year,Time(Hrs),Dst Index
61369,001,01,01,2007,00,-3.00
61370,001,01,01,2007,01,0.00
61371,001,01,01,2007,02,1.00
61372,001,01,01,2007,03,-1.00
61373,001,01,01,2007,04,-6.00
61374,001,01,01,2007,05,-8.00
61375,001,01,01,2007,06,-9.00
61376,001,01,01,2007,07,-8.00
61377,001,01,01,2007,08,0.00
61378,001,01,01,2007,09,7.00
61379,001,01,01,2007,10,8.00
61380,001,01,01,2007,11,-2.00
61381,001,01,01,2007,12,-9.00
61382,001,01,01,2007,13,-11.00
61383,001,01,01,2007,14,0.00
61384,001,01,01,2007,15,2.00
61385,001,01,01,2007,16,-7.00
61386,001,01,01,2007,17,-6.00
61387,001,01,01,2007,18,-8.00
61388,001,01,01,2007,19,-2.00
61389,001,01,01,2007,20,-4.00
61390,001,01,01,2007,21,1.00
61391,001,01,01,2007,22,1.00
61392,001,01,01,2007,23,-1.00
61393,002,02,01,2007,00,-17.00
61394,002,02,01,2007,01,-20.00
61395,002,02,01,2007,02,-14.00
61396,002,02,01,2007,03,-14.00
61397,002,02,01,2007,04,-16.00
61398,002,02,01,2007,05,-20.00
61399,002,02,01,2007,06,-25.00
61400,002,02,01,2007,07,-25.00
61401,002,02,01,2007,08,-22.00
61402,002,02,01,2007,09,-20.00
61403,002,02,01,2007,10,-20.00
61404,002,02,01,2007,11,-23.00
61405,002,02,01,2007,12,-18.00
61406,002,02,01,2007,13,-24.00
61407,002,02,01,2007,14,-26.00
61408,002,02,01,2007,15,-29.00
61409,002,02,01,2007,16,-31.00
61410,002,02,01,2007,17,-29.00
61411,002,02,01,2007,18,-26.00
61412,002,02,01,2007,19,-26.00
61413,002,02,01,2007,20,-27.00
61414,002,02,01,2007,21,-24.00
61415,002,02,01,2007,22,-26.00
61416,002,02,01,2007,23,-22.00
61417,003,03,01,2007,00,-17.00
61418,003,03,01,2007,01,-13.00
61419,003,03,01,2007,02,-15.00
61420,003,03,01,2007,03,-17.00
61421,003,03,01,2007,04,-29.00
61422,003,03,01,2007,05,-26.00
61423,003,03,01,2007,06,-22.00
61424,003,03,01,2007,07,-23.00
61425,003,03,01,2007,08,-23.00
61426,003,03,01,2007,09,-28.00
61427,003,03,01,2007,10,-28.00
61428,003,03,01,2007,11,-24.00
61429,003,03,01,2007,12,-25.00
61430,003,03,01,2007,13,-26.00
61431,003,03,01,2007,14,-25.00
61432,003,03,01,2007,15,-27.00
61433,003,03,01,2007,16,-27.00
61434,003,03,01,2007,17,-27.00
61435,003,03,01,2007,18,-24.00
61436,003,03,01,2007,19,-23.00
61437,003,03,01,2007,20,-24.00
61438,003,03,01,2007,21,-27.00
61439,003,03,01,2007,22,-30.00
61440,003,03,01,2007,23,-25.00
61441,004,04,01,2007,00,-21.00
61442,004,04,01,2007,01,-20.00
61443,004,04,01,2007,02,-26.00
61444,004,04,01,2007,03,-27.00
61445,004,04,01,2007,04,-23.00
61446,004,04,01,2007,05,-20.00
61447,004,04,01,2007,06,-20.00
61448,004,04,01,2007,07,-24.00
61449,004,04,01,2007,08,-29.00
61450,004,04,01,2007,09,-21.00
61451,004,04,01,2007,10,-19.00
61452,004,04,01,2007,11,-14.00
61453,004,04,01,2007,12,-12.00
61454,004,04,01,2007,13,-15.00
61455,004,04,01,2007,14,-20.00
61456,004,04,01,2007,15,-26.00
61457,004,04,01,2007,16,-30.00
61458,004,04,01,2007,17,-30.00
61459,004,04,01,2007,18,-28.00
61460,004,04,01,2007,19,-27.00
61461,004,04,01,2007,20,-26.00
61462,004,04,01,2007,21,-28.00
61463,004,04,01,2007,22,-30.00
61464,004,04,01,2007,23,-28.00
61465,005,05,01,2007,00,-24.00
61466,005,05,01,2007,01,-22.00
61467,005,05,01,2007,02,-17.00
61468,005,05,01,2007,03,-15.00
61469,005,05,01,2007,04,-17.00
61470,005,05,01,2007,05,-16.00
61471,005,05,01,2007,06,-14.00
61472,005,05,01,2007,07,-16.00
61473,005,05,01,2007,08,-22.00
61474,005,05,01,2007,09,-26.00
61475,005,05,01,2007,10,-23.00
61476,005,05,01,2007,11,-19.00
61477,005,05,01,2007,12,-14.00
61478,005,05,01,2007,13,-13.00
61479,005,05,01,2007,14,-17.00
61480,005,05,01,2007,15,-26.00
61481,005,05,01,2007,16,-31.00
61482,005,05,01,2007,17,-29.00
61483,005,05,01,2007,18,-25.00
61484,005,05,01,2007,19,-23.00
61485,005,05,01,2007,20,-25.00
61486,005,05,01,2007,21,-26.00
61487,005,05,01,2007,22,-27.00
61488,005,05,01,2007,23,-26.00
61489,006,06,01,2007,00,-23.00
61490,006,06,01,2007,01,-20.00
61491,006,06,01,2007,02,-17.00
61492,006,06,01,2007,03,-15.00
61493,006,06,01,2007,04,-13.00
61494,006,06,01,2007,05,-12.00
61495,006,06,01,2007,06,-12.00
61496,006,06,01,2007,07,-16.00
61497,006,06,01,2007,08,-19.00
61498,006,06,01,2007,09,-20.00
61499,006,06,01,2007,10,-16.00
61500,006,06,01,2007,11,-13.00
61501,006,06,01,2007,12,-14.00
61502,006,06,01,2007,13,-13.00
61503,006,06,01,2007,14,-13.00
61504,006,06,01,2007,15,-17.00
61505,006,06,01,2007,16,-20.00
61506,006,06,01,2007,17,-17.00
61507,006,06,01,2007,18,-14.00
61508,006,06,01,2007,19,-14.00
61509,006,06,01,2007,20,-14.00
61510,006,06,01,2007,21,-17.00
61511,006,06,01,2007,22,-20.00
61512,006,06,01,2007,23,-21.00
61513,007,07,01,2007,00,-18.00
61514,007,07,01,2007,01,-15.00
61515,007,07,01,2007,02,-13.00
61516,007,07,01,2007,03,-13.00
61517,007,07,01,2007,04,-14.00
61518,007,07,01,2007,05,-14.00
61519,007,07,01,2007,06,-14.00
61520,007,07,01,2007,07,-17.00
61521,007,07,01,2007,08,-20.00
61522,007,07,01,2007,09,-23.00
61523,007,07,01,2007,10,-24.00
61524,007,07,01,2007,11,-22.00
61525,007,07,01,2007,12,-22.00
61526,007,07,01,2007,13,-19.00
61527,007,07,01,2007,14,-16.00
61528,007,07,01,2007,15,-15.00
61529,007,07,01,2007,16,-15.00
61530,007,07,01,2007,17,-13.00
61531,007,07,01,2007,18,-12.00
61532,007,07,01,2007,19,-10.00
61533,007,07,01,2007,20,-10.00
61534,007,07,01,2007,21,-11.00
61535,007,07,01,2007,22,-14.00
61536,007,07,01,2007,23,-16.00
61537,008,08,01,2007,00,-17.00
61538,008,08,01,2007,01,-16.00
61539,008,08,01,2007,02,-14.00
61540,008,08,01,2007,03,-12.00
61541,008,08,01,2007,04,-7.00
61542,008,08,01,2007,05,-6.00
61543,008,08,01,2007,06,-6.00
61544,008,08,01,2007,07,-5.00
61545,008,08,01,2007,08,-6.00
61546,008,08,01,2007,09,-7.00
61547,008,08,01,2007,10,-9.00
61548,008,08,01,2007,11,-6.00
61549,008,08,01,2007,12,-7.00
61550,008,08,01,2007,13,-9.00
61551,008,08,01,2007,14,-9.00
61552,008,08,01,2007,15,-7.00
61553,008,08,01,2007,16,-9.00
61554,008,08,01,2007,17,-16.00
61555,008,08,01,2007,18,-13.00
61556,008,08,01,2007,19,-9.00
61557,008,08,01,2007,20,-4.00
61558,008,08,01,2007,21,-4.00
61559,008,08,01,2007,22,-5.00
61560,008,08,01,2007,23,-4.00
61561,009,09,01,2007,00,-6.00
61562,009,09,01,2007,01,-6.00
61563,009,09,01,2007,02,-1.00
61564,009,09,01,2007,03,2.00
61565,009,09,01,2007,04,4.00
61566,009,09,01,2007,05,6.00
61567,009,09,01,2007,06,4.00
61568,009,09,01,2007,07,3.00
61569,009,09,01,2007,08,-1.00
61570,009,09,01,2007,09,-2.00
61571,009,09,01,2007,10,0.00
61572,009,09,01,2007,11,-1.00
61573,009,09,01,2007,12,-7.00
61574,009,09,01,2007,13,-15.00
61575,009,09,01,2007,14,-22.00
61576,009,09,01,2007,15,-21.00
61577,009,09,01,2007,16,-22.00
61578,009,09,01,2007,17,-22.00
61579,009,09,01,2007,18,-16.00
61580,009,09,01,2007,19,-12.00
61581,009,09,01,2007,20,-7.00
61582,009,09,01,2007,21,-4.00
