,DayofYear,Date,Month,Year,Time(Hrs),Dst Index
27721,060,01,03,1978,00,-47.00
27722,060,01,03,1978,01,-51.00
27723,060,01,03,1978,02,-47.00
27724,060,01,03,1978,03,-47.00
27725,060,01,03,1978,04,-43.00
27726,060,01,03,1978,05,-39.00
27727,060,01,03,1978,06,-39.00
27728,060,01,03,1978,07,-39.00
27729,060,01,03,1978,08,-38.00
27730,060,01,03,1978,09,-41.00
27731,060,01,03,1978,10,-34.00
27732,060,01,03,1978,11,-37.00
27733,060,01,03,1978,12,-31.00
27734,060,01,03,1978,13,-30.00
27735,060,01,03,1978,14,-36.00
27736,060,01,03,1978,15,-45.00
27737,060,01,03,1978,16,-53.00
27738,060,01,03,1978,17,-50.00
27739,060,01,03,1978,18,-55.00
27740,060,01,03,1978,19,-55.00
27741,060,01,03,1978,20,-51.00
27742,060,01,03,1978,21,-52.00
27743,060,01,03,1978,22,-67.00
27744,060,01,03,1978,23,-69.00
27745,061,02,03,1978,00,-59.00
27746,061,02,03,1978,01,-59.00
27747,061,02,03,1978,02,-56.00
27748,061,02,03,1978,03,-52.00
27749,061,02,03,1978,04,-51.00
27750,061,02,03,1978,05,-48.00
27751,061,02,03,1978,06,-48.00
27752,061,02,03,1978,07,-45.00
27753,061,02,03,1978,08,-49.00
27754,061,02,03,1978,09,-47.00
27755,061,02,03,1978,10,-43.00
27756,061,02,03,1978,11,-40.00
27757,061,02,03,1978,12,-37.00
27758,061,02,03,1978,13,-32.00
27759,061,02,03,1978,14,-28.00
27760,061,02,03,1978,15,-28.00
27761,061,02,03,1978,16,-23.00
27762,061,02,03,1978,17,-26.00
27763,061,02,03,1978,18,-24.00
27764,061,02,03,1978,19,-28.00
27765,061,02,03,1978,20,-33.00
27766,061,02,03,1978,21,-38.00
27767,061,02,03,1978,22,-31.00
27768,061,02,03,1978,23,-27.00
27769,062,03,03,1978,00,-31.00
27770,062,03,03,1978,01,-36.00
27771,062,03,03,1978,02,-37.00
27772,062,03,03,1978,03,-33.00
27773,062,03,03,1978,04,-36.00
27774,062,03,03,1978,05,-41.00
27775,062,03,03,1978,06,-40.00
27776,062,03,03,1978,07,-35.00
27777,062,03,03,1978,08,-32.00
27778,062,03,03,1978,09,-37.00
27779,062,03,03,1978,10,-41.00
27780,062,03,03,1978,11,-35.00
27781,062,03,03,1978,12,-34.00
27782,062,03,03,1978,13,-33.00
27783,062,03,03,1978,14,-32.00
27784,062,03,03,1978,15,-33.00
27785,062,03,03,1978,16,-36.00
27786,062,03,03,1978,17,-37.00
27787,062,03,03,1978,18,-34.00
27788,062,03,03,1978,19,-34.00
27789,062,03,03,1978,20,-39.00
27790,062,03,03,1978,21,-37.00
27791,062,03,03,1978,22,-39.00
27792,062,03,03,1978,23,-29.00
27793,063,04,03,1978,00,-25.00
27794,063,04,03,1978,01,-24.00
27795,063,04,03,1978,02,-20.00
27796,063,04,03,1978,03,-18.00
27797,063,04,03,1978,04,-16.00
27798,063,04,03,1978,05,-15.00
27799,063,04,03,1978,06,-13.00
27800,063,04,03,1978,07,-12.00
27801,063,04,03,1978,08,-11.00
27802,063,04,03,1978,09,-12.00
27803,063,04,03,1978,10,-12.00
27804,063,04,03,1978,11,-10.00
27805,063,04,03,1978,12,-10.00
27806,063,04,03,1978,13,-10.00
27807,063,04,03,1978,14,-12.00
27808,063,04,03,1978,15,-11.00
27809,063,04,03,1978,16,-12.00
27810,063,04,03,1978,17,-13.00
27811,063,04,03,1978,18,-14.00
